left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_arm_angle,right_arm_angle,label
0.49814976621997503,0.04297453216713617,-0.49814976621997503,-0.04297453216713617,0.6541003323466711,1.022380965772811,-0.7661291610861438,0.9056901118955512,0.6432905103440533,1.766839172205433,-0.8078647452744959,1.666986165004156,170.95276304036986,-164.22604136622084,forward
0.4981486244028194,0.04298776576630603,-0.4981486244028194,-0.04298776576630603,0.6417875531448207,1.0283211145628592,-0.772620102965967,0.8907118585592513,0.632293076939444,1.766963410839638,-0.809825159469661,1.659040904554574,171.70601612097204,-163.61870916146196,forward
0.49840479053045594,0.03990820437319007,-0.49840479053045594,-0.03990820437319007,0.6505969206275526,1.0069974141676066,-0.7802517324621665,0.8899390557163985,0.6410307316045194,1.7427726027256036,-0.8223155399524981,1.643824388613105,171.05663442005684,-163.13736608322353,forward
0.49817650648590645,0.0426634314782299,-0.49817650648590645,-0.0426634314782299,0.6435500030263767,1.0220315440414467,-0.7584683035253199,0.866954953840191,0.6482898858014887,1.7638927747380762,-0.8153931505281349,1.6258102003785007,171.55689251003912,-164.03126451845415,forward
0.49813482985351637,0.04314732073731002,-0.49813482985351637,-0.04314732073731002,0.6455312510161075,1.0241223727395246,-0.7598863329385304,0.8682022887865426,0.6504423374398158,1.7627751312767161,-0.8229098405480154,1.624173643822727,171.45494516084716,-163.9752435487868,forward
0.49811480353170856,0.04337790339063592,-0.49811480353170856,-0.04337790339063592,0.6475678161902423,1.0280377494344282,-0.7584193030212992,0.87713203135639,0.6500359635520107,1.766399832266665,-0.8216448689335603,1.6370356033310731,171.36944195665154,-164.21000238451683,forward
0.4980669058859951,0.043924449468960784,-0.4980669058859951,-0.043924449468960784,0.6443268028748752,1.0269803423571606,-0.7565003351912374,0.8630662928278027,0.6467256109538553,1.7638559079389482,-0.8240499730358221,1.6293511800526512,171.53756131658932,-164.0958912845773,forward
0.49813626982757986,0.04313069304178287,-0.49813626982757986,-0.04313069304178287,0.6473681087594532,1.0039371761608211,-0.7477484852382612,0.8634818538886283,0.6468395917355696,1.7555296967746123,-0.7953422623691282,1.6105653122814059,171.1713997237878,-164.60649020977024,forward
0.4982490413775266,0.0418078074810882,-0.4982490413775266,-0.0418078074810882,0.6460017429954079,0.9979037636980821,-0.7480108017195358,0.8614614693923589,0.6465802553146012,1.7498350156220899,-0.7971176440015569,1.6214426041366021,171.21514507938357,-164.54341835075329,forward
0.4982414320153047,0.041898394042474495,-0.4982414320153047,-0.041898394042474495,0.6438564958709965,0.9942121277876971,-0.7486949427771957,0.8552540281570169,0.6484915716605381,1.7415078010558993,-0.8020305975085493,1.6188366762719573,171.3064324267765,-164.40212968110936,forward
0.4979221292061243,0.045536284947717304,-0.4979221292061243,-0.045536284947717304,0.6360500083429794,1.0051029543009098,-0.804882951499188,0.6662018668340288,0.6472528927354307,1.7451094628768231,-0.8613712796603931,1.5698091673564958,171.80864523361808,-156.67026724360642,forward
0.4980531378853145,0.04408028859469828,-0.4980531378853145,-0.04408028859469828,0.648972549216703,1.0084923976719224,-0.8017626193785318,0.7405255151044818,0.6514404545535052,1.7505691125137761,-0.8602050809498737,1.5826205407001546,171.10600155394616,-158.83930503880856,forward
0.4980889086516351,0.043674238152750434,-0.4980889086516351,-0.043674238152750434,0.6453156991858148,1.0071346108099273,-0.7904845900172706,0.7577419529986629,0.6449218857473007,1.7481883095746333,-0.8586373692861727,1.5820352414219339,171.3118174561412,-159.95556631250753,forward
0.49811584530196007,0.04336593892807769,-0.49811584530196007,-0.04336593892807769,0.6497149413848905,1.009752058507475,-0.7685835758979616,0.7911406765376221,0.6497659019512577,1.7550437568355433,-0.8470099908306148,1.5899403969606207,171.0845455160217,-162.04223358201855,forward
